quadratID,speciesID,cover
rod_1_1,dauca,1-5
rod_1_1,phaar,>95
rod_1_1,selu,<1
rod_2_1,panvi,50-75
rod_2_1,pass,1-5
rod_2_1,dauca,5-25
rod_2_1,verst,1-5
rod_2_1,myoaq,1-5
rod_2_1,andge,5-25
rod_2_1,aggre,1-5
rod_2_1,setfa,1-5
rod_2_2,solca,25-50
rod_2_2,cirar,5-25
rod_2_2,sornu,1-5
rod_2_2,spoas,1-5
rod_2_2,poapr,5-25
rod_2_2,elyvi,1-5
rod_2_2,andge,25-50
rod_2_2,phaar,1-5
rod_2_2,panvi,5-25
rod_3_1,solca,1-5
rod_3_1,aggre,5-25
rod_3_1,cirar,<1
rod_3_1,andge,75-95
rod_3_1,verst,<1
rod_3_1,elyvi,1-5
rod_3_1,sornu,1-5
rod_3_2,andge,75-95
rod_3_2,cirar,1-5
rod_3_2,dauca,<1
rod_3_2,aggre,1-5
rod_3_2,tarof,<1
rod_3_3,andge,75-95
rod_3_3,sornu,5-25
rod_3_3,cirar,1-5
rod_3_3,poapr,1-5
rod_3_3,elyvi,<1
rod_3_3,phaar,1-5
rod_3_4,cirar,5-25
rod_3_4,solca,5-25
rod_3_4,panvi,5-25
rod_3_4,andge,25-50
rod_3_4,sornu,1-5
rod_3_4,setvi,1-5
rod_3_4,phaar,1-5
rod_3_5,solca,5-25
rod_3_5,cirar,25-50
rod_3_5,dauca,<1
rod_3_5,poapr,25-50
rod_3_5,sonru,25-50
rod_3_5,fesar,5-25
rod_4_1,dauca,5-25
rod_4_1,sympi,5-25
rod_4_1,medlu,1-5
rod_4_1,trihy,1-5
rod_4_1,andge,5-25
rod_4_1,sornu,5-25
rod_4_1,passa,25-50
rod_4_1,elyvi,<1
rod_4_1,panvi,5-25
rod_4_1,setlu,1-5
rod_4_1,tarof,5-25
rod_4_1,solca,1-5
rod_4_2,solca,5-25
rod_4_2,sympi,5-25
rod_4_2,verur,5-25
rod_4_2,andge,5-25
rod_4_2,sornu,5-25
rod_4_2,tarof,1-5
rod_4_2,passa,5-25
rod_4_2,dauca,1-5
rod_4_2,oxast,<1
rod_4_2,broju,5-25
rod_4_2,poapr,1-5
rod_4_2,cirar,1-5
rod_4_3,tarof,1-5
rod_4_3,solca,50-75
rod_4_3,dauca,1-5
rod_4_3,andge,25-50
rod_4_3,sornu,5-25
rod_4_3,monfi,<1
rod_4_3,cirar,1-5
rod_4_3,myove,<1
rod_4_3,aggre,<1
rod_4_4,tarof,1-5
rod_4_4,cirvu,5-25
rod_4_4,dauca,<1
rod_4_4,solca,1-5
rod_4_4,sornu,5-25
rod_4_4,ratpi,<1
rod_4_4,andge,25-50
rod_4_4,dacgl,<1
rod_4_4,spoas,1-5
rod_5_1,panvi,5-25
rod_5_1,solca,25-50
rod_5_1,sornu,25-50
rod_5_1,dauca,<1
rod_5_1,andge,25-50
rod_5_1,aggre,1-5
rod_5_1,poapr,5-25
rod_6_1,cirar,25-50
rod_6_1,panvi,50-75
rod_6_1,elyvi,5-25
rod_6_1,broin,1-5
rod_6_1,vitri,1-5
rod_7_1,panvi,5-25
rod_7_1,carvu,5-25
rod_7_1,tarof,1-5
rod_7_1,phlpr,5-25
rod_7_1,andge,5-25
rod_7_1,poapr,25-50
rod_7_1,sornu,1-5
rod_7_1,polpe,<1
rod_7_1,cirar,<1
rod_7_1,setlu,<1
rod_7_1,setfa,1-5
rod_8_1,panvi,25-50
rod_8_1,solca,5-25
rod_8_1,elyvi,5-25
rod_8_1,cirar,25-50
rod_8_1,sornu,5-25
rod_8_1,passa,5-25
rod_8_1,tarof,1-5
rod_8_1,andge,5-25
rod_9_1,cirar,5-25
rod_9_1,panvi,25-50
rod_9_1,solca,5-25
rod_9_1,myove,1-5
rod_9_1,andge,50-75
rod_9_1,aggre,1-5
rod_9_1,ratpi,<1
rod_9_1,elyvi,1-5
rod_10_1,ascsy,5-25
rod_10_1,solca,5-25
rod_10_1,cirar,50-75
rod_10_1,sornu,1-5
rod_10_1,andge,1-5
rod_10_1,poapr,50-75
rod_10_1,dauca,<1
rod_10_2,cirar,75-95
rod_10_2,solcar,1-5
rod_10_2,poapr,25-50
rod_11_1,cirar,5-25
rod_11_1,panvi,1-5
rod_11_1,andge,5-25
rod_11_1,poapr,75-95
rod_12_1,elyvi,25-50
rod_12_1,elyca,5-25
rod_12_1,dauca,<1
rod_12_1,andge,25-50
rod_12_1,setlu,1-5
rod_12_1,tarof,<1
rod_12_1,myove,<1
rod_12_1,vitri,<1
rod_12_1,poapr,1-5
rod_13_1,tarof,5-25
rod_13_1,solca,5-25
rod_13_1,panvi,25-50
rod_13_1,dauca,1-5
rod_13_1,dacgl,1-5
rod_13_1,andge,5-25
rod_13_1,trire,<1
rod_13_1,sornu,1-5
rod_13_1,poapr,1-5
rod_13_2,cirar,5-25
rod_13_2,panvi,25-50
rod_13_2,elyvi,5-25
rod_13_2,solca,1-5
rod_13_2,andge,5-25
rod_13_2,tarof,1-5
rod_13_3,cirar,5-25
rod_13_3,solca,5-25
rod_13_3,panvi,25-50
rod_13_3,poapr,25-50
rod_13_3,sornu,1-5
rod_13_3,dauca,<1
